tiempo,prediccion,fase_aplicada,Bolivar_llegada_Cordero_cola,Bolivar_llegada_Cordero_espera,LuisCordero_entre_Bolivar_Sucre_cola,LuisCordero_entre_Bolivar_Sucre_espera
537.0,0,0,1,7.5,0,0.0
538.0,1,0,1,8.0,0,0.0
539.0,0,0,1,8.5,0,0.0
540.0,1,1,1,9.0,0,0.0
541.0,0,1,2,6.333333333333333,0,0.0
542.0,0,1,1,6.666666666666667,0,0.0
543.0,1,1,0,0.0,0,0.0
544.0,1,1,0,0.0,0,0.0
545.0,1,1,0,0.0,0,0.0
546.0,1,1,0,0.0,1,0.2
547.0,1,1,0,0.0,2,0.75
548.0,1,1,0,0.0,3,1.5
549.0,1,1,0,0.0,3,1.8
550.0,1,1,0,0.0,3,2.0
551.0,1,1,0,0.0,3,2.5
552.0,1,1,0,0.0,3,2.5714285714285716
553.0,1,1,0,0.0,4,3.6666666666666665
554.0,1,1,0,0.0,5,3.857142857142857
555.0,1,1,0,0.0,5,4.571428571428571
556.0,1,1,0,0.0,5,5.285714285714286
557.0,1,1,0,0.0,6,6.142857142857143
558.0,1,1,0,0.0,6,6.125
559.0,1,1,0,0.0,6,6.875
560.0,1,1,0,0.0,6,6.777777777777778
561.0,1,1,1,0.0,6,6.7
562.0,1,1,0,0.0,7,8.222222222222221
563.0,1,1,0,0.0,7,8.1
564.0,1,1,1,0.0,7,9.777777777777779
565.0,1,1,0,0.0,8,9.6
566.0,1,1,0,0.0,8,10.4
567.0,1,1,0,0.0,8,11.2
568.0,1,1,0,0.0,9,12.1
569.0,1,1,0,0.0,9,13.0
570.0,1,1,0,0.0,10,12.727272727272727
571.0,1,1,0,0.0,10,13.636363636363637
572.0,1,1,0,0.0,10,14.545454545454545
573.0,1,1,0,0.0,10,15.454545454545455
574.0,1,1,0,0.0,10,16.363636363636363
575.0,1,1,0,0.0,10,17.272727272727273
576.0,1,1,0,0.0,10,18.181818181818183
577.0,1,1,1,0.0,10,19.09090909090909
578.0,1,1,0,0.0,11,20.09090909090909
579.0,1,1,1,0.0,11,21.09090909090909
580.0,1,1,0,0.0,11,22.09090909090909
581.0,1,1,1,0.0,11,23.09090909090909
582.0,1,1,0,0.0,11,24.09090909090909
583.0,1,1,0,0.0,11,25.09090909090909
584.0,1,1,0,0.0,11,26.09090909090909
585.0,1,1,0,0.0,11,27.09090909090909
586.0,1,1,0,0.0,11,28.09090909090909
587.0,1,1,0,0.0,11,29.09090909090909
588.0,1,1,0,0.0,11,30.09090909090909
589.0,1,1,0,0.0,11,31.09090909090909
590.0,1,1,0,0.0,11,32.09090909090909
591.0,1,1,0,0.0,11,33.09090909090909
592.0,1,1,0,0.0,11,31.25
593.0,1,1,0,0.0,9,34.0
594.0,1,1,0,0.0,7,26.333333333333332
595.0,1,1,1,0.3333333333333333,5,16.8
596.0,1,1,1,0.6666666666666666,3,15.714285714285714
597.0,1,1,2,1.3333333333333333,2,9.857142857142858
598.0,1,1,3,2.3333333333333335,1,3.625
599.0,1,1,3,3.3333333333333335,0,0.0
600.0,0,0,3,4.333333333333333,0,0.0
601.0,1,0,4,4.0,0,0.0
602.0,0,0,3,4.75,0,0.0
